Actual,Predicted
10580,11707.917
9754,10858.761
10666,12156.597
10707,11123.706
11462,10788.573
10163,10478.402
11136,10408.882
10798,10754.232
10891,10933.802
10179,11086.45
10944,11036.661
10400,10618.811
10923,10599.622
10327,10609.86
10494,10872.322
11195,10790.273
11964,11005.784
10261,10277.352
10739,10687.908
10070,11053.74
10686,10360.474
10866,10767.767
10336,10638.601
9041,10336.541
10647,9414.577
12369,10993.62
9897,10848.801
10547,10881.554
10346,10634.003
10798,11396.159
6534,10705.266
7036,9144.255
6819,8692.071
6423,10390.908
6792,9386.901
7446,9106.34
6855,8691.056
6704,9696.413
6942,9835.884
6348,9608.882
7726,9807.447
6990,9239.5
7256,9650.24
6584,9400.903
7074,9863.483
6491,9856.501
7341,9842.746
5859,9056.586
11583,10883.019
11402,11451.603
10899,11789.08
12170,11536.843
9843,11608.369
9452,11099.682
9417,11801.098
11037,10260.558
11849,9478.052
10628,9464.304
10763,10229.604
10618,11097.401
9587,10475.161
10765,10617.983
11283,11077.444
10701,11109.06
10396,11422.202
11353,11155.092
11309,11128.707
10543,11214.775
10239,11062.316
11353,11483.074
10298,10890.569
9934,11298.5625
11587,10943.8
11272,10946.666
9817,10803.86
10578,10117.089
11307,11078.362
11080,10933.996
10316,11006.374
10158,11003.561
10354,10717.706
11318,10797.934
9905,10273.732
10610,10514.943
9890,10647.407
11626,10615.674
11816,11273.8125
11143,10817.461
11150,10756.385
10942,11349.309
12701,11203.718
11461,11534.9795
10967,11477.131
10302,11489.246
10770,11408.316
9679,10689.062
11853,11626.725
11992,10770.999
11385,10531.758
10994,10784.316
10445,10919.517
11106,10871.611
11890,11450.838
11331,11934.82
10632,11123.076
12396,11420.174
11691,10812.603
11032,11333.635
11920,11469.374
9871,11435.946
11544,11527.306
7180,9294.417
7006,9450.14
6941,9361.274
6223,9041.894
6400,9959.269
6934,7546.106
7175,7031.7725
7110,7043.6963
6430,7021.827
7707,7180.645
7302,6976.138
6946,7193.7837
7143,6950.831
10083,8712.338
10060,11070.103
11324,11336.691
10648,10723.149
11844,11298.378
10186,11829.523
10523,11103.295
10437,10781.471
10122,10962.101
11301,10388.855
9017,10633.216
12846,7177.9946
10348,10451.54
11927,10806.958
9479,9848.66
11386,9542.779
11794,8791.891
11182,12062.619
11540,11569.481
11440,11296.856
10268,11173.188
9657,10526.584
